Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
381,0,0.0732790243927057,0.146434819491308,,,,,
382,0,0.0738368771778204,,,,,,
383,0,0.0737825108643653,0.147619388042186,,,,,
384,0,0.0737135292272449,,,,,,
385,0,0.0736339635883685,0.147347492815613,,,,,
386,0,0.0735566482216758,,,,,,
387,0,0.0734970767929523,0.147053725014628,,,,,
388,0,0.0734227895474153,,,,,,
389,0,0.0739035605908765,0.147326350138292,,,,,
390,0,0.0743899594133817,,,,,,
391,0,0.0747724545371464,0.149162413950528,,,,,
392,0,0.0746887402844715,,,,,,
393,0,0.0746098503581785,0.14929859064265,,,,,
394,0,0.0745572690612097,,,,,,
395,0,0.0744842253210756,0.149041494382285,,,,,
396,0,0.0744453028006192,,,,,,
397,0,0.0743817172464165,0.148827020047036,,,,,
398,0,0.0743005627834286,,,,,,
399,0,0.0742415679794067,0.148542130762835,,,,,
400,0,0.074186746826129,,,,,,
401,0,0.0741133109924428,0.148300057818572,,,,,
402,0,0.0740489473099248,,,,,,
403,0,0.0747005731672262,0.148749520477151,,,,,
404,0,0.0746107381673289,,,,,,
405,0,0.0745220913011583,0.149132829468487,,,,,
406,0,0.0744313111429152,,,,,,
407,0,0.0743407220268012,0.148772033169716,,,,,
408,0,0.0742506196165213,,,,,,
409,0,0.0741626452227495,0.148413264839271,,,,,
410,0,0.0740734066976447,,,,,,
411,0,0.0741406525954633,0.148214059293108,,,,,
412,0,0.0747899069283332,,,,,,
413,0,0.0750375497813192,0.149827456709652,,,,,
414,0,0.0749474054973493,,,,,,
415,0,0.074857574113895,0.149804979611244,,,,,
416,0,0.0747680652582186,,,,,,
417,0,0.0746788222364367,0.149446887494655,,,,,
418,0,0.0745899007491623,,,,,,
419,0,0.0745014046129142,0.149091305362077,,,,,
420,0,0.0744132239611005,,,,,,
421,0,0.0743253165252509,0.148738540486351,,,,,
422,0,0.0742376747430923,,,,,,
423,0,0.0741504121923976,0.14838808693549,,,,,
424,0,0.0740634747575423,,,,,,
425,0,0.0739886032229139,0.148052077980456,,,,,
426,0,0.0740158773770158,,,,,,
427,0,0.0745849598000668,0.148600837177083,,,,,
428,0,0.0744986424420268,,,,,,
429,0,0.0744123234922334,0.14891096593426,,,,,
430,0,0.0743262542411298,,,,,,
431,0,0.0742404704136919,0.148566724654822,,,,,
432,0,0.0741550262105091,,,,,,
433,0,0.0740702288009751,0.148225255011484,,,,,
434,0,0.0739855200832587,,,,,,
435,0,0.0739015108242245,0.147887030907483,,,,,
436,0,0.0738174770615526,,,,,,
437,0,0.0737338556830832,0.147551332744636,,,,,
438,0,0.0736949238852558,,,,,,
439,0,0.0743134380965154,0.148008361981771,,,,,
440,0,0.074261570776987,,,,,,
441,0,0.0741814605081998,0.148443031285187,,,,,
442,0,0.0740995894840845,,,,,,
443,0,0.0740167421000103,0.148116331584095,,,,,
444,0,0.0739341043126166,,,,,,
445,0,0.0738517770871802,0.147785881399797,,,,,
446,0,0.0737695180970766,,,,,,
447,0,0.0736878185124348,0.147457336609511,,,,,
448,0,0.0736061644817065,,,,,,
449,0,0.0735252127873335,0.14713137726904,,,,,
450,0,0.0734440942105229,,,,,,
451,0,0.0733632944133428,0.146807388623866,,,,,
452,0,0.0732828528342914,,,,,,
453,0,0.0732025814179644,0.146485434252256,,,,,
454,0,0.0731224303515627,,,,,,
455,0,0.073042808508005,0.146165238859568,,,,,
456,0,0.0729637403955604,,,,,,
457,0,0.0728844698540399,0.1458482102496,,,,,
458,0,0.0728055454912458,,,,,,
459,0,0.072726813630637,0.145532359121883,,,,,
460,0,0.0726485480077219,,,,,,
461,0,0.0725701483014994,0.145218696309221,,,,,
462,0,0.0724924876532478,,,,,,
